,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.5,0.2532,"0, 1/2, z",2 r,mm2
1,E2,0.0645,0.375,0.2516,"x, y, z",8 al,1
2,E3,0.3333,0.2587,0.5,"x, y, 1/2",4 z,m
3,E4,0.2688,0.2537,0.375,"x, y, z",8 al,1
4,E5,0.1668,0.2536,0.0,"x, y, 0",4 y,m
5,E6,0.1022,0.2517,0.125,"x, y, z",8 al,1
6,E7,0.5,0.2548,0.0,"1/2, y, 0",2 o,mm2
7,E8,0.4355,0.2524,0.125,"x, y, z",8 al,1
8,E9,0.3979,0.2549,0.375,"x, y, z",8 al,1
9,E10,0.0,0.2532,0.5,"0, y, 1/2",2 o,mm2
10,E11,0.0417,0.2516,0.3064,"x, y, z",8 al,1
11,E12,0.3333,0.5,0.2521,"x, 1/2, z",4 x,m
12,E13,0.375,0.3065,0.251,"x, y, z",8 al,1
13,E14,0.2917,0.3064,0.2511,"x, y, z",8 al,1
14,E15,0.2313,0.2518,0.125,"x, y, z",8 al,1
15,E16,0.0842,0.5,0.5,"x, 1/2, 1/2",2 l,mm2
16,E17,0.0838,0.3065,0.375,"x, y, z",8 al,1
17,E18,0.2509,0.5,0.5,"z, 1/2, 1/2",2 l,mm2
18,E19,0.2505,0.375,0.3064,"x, y, z",8 al,1
19,E20,0.4156,0.0,0.0,"x, 0, 0",2 i,mm2
20,E21,0.4161,0.125,0.1936,"x, y, z",8 al,1
21,E22,0.4167,0.5,0.5,"x, 1/2, 1/2",2 l,mm2
22,E23,0.4167,0.375,0.3064,"x, y, z",8 al,1
23,E24,0.0844,0.0,0.0,"x, 0, 0",2 i,2
24,E25,0.0839,0.125,0.1936,"x, y, z",8 al,1
25,E26,0.2509,0.0,0.0,"x, 0, 0",2 i,mm2
26,E27,0.2505,0.125,0.1936,"x, y, z",8 al,1
27,E28,0.1667,0.0,0.2538,"x, 0, z",4 w,m
28,E29,0.125,0.1935,0.2519,"x, y, z",8 al,1
29,E30,0.2084,0.1935,0.2519,"x, y, z",8 al,1
30,E31,0.5,0.0,0.2542,"1/2, 0, z",2 s,mm2
31,E32,0.4583,0.1935,0.2521,"x, y, z",8 al,1
