,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,3,12,24,49,81,118,168,224,280,364,1324,5.5.5
1,V2,3,12,24,49,80,120,168,222,282,364,1325,5.5.5
2,V3,3,12,24,49,80,120,167,224,280,365,1325,5.5.5
3,V4,3,12,24,49,81,118,169,222,282,363,1324,5.5.5
4,V5,3,12,24,49,81,118,169,222,282,363,1324,5.5.5
5,V6,3,12,24,49,81,118,169,222,282,363,1324,5.5.5
6,V7,3,12,24,49,81,118,169,222,282,363,1324,5.5.5
7,V8,3,12,24,49,81,118,169,222,283,362,1324,5.5.5
8,V9,3,12,24,49,81,118,169,222,282,363,1324,5.5.5
9,V10,3,12,24,49,81,118,169,222,283,362,1324,5.5.5
10,V11,3,12,24,49,81,118,169,222,282,363,1324,5.5.5
11,V12,3,12,24,49,81,118,169,222,282,363,1324,5.5.5
12,V13,3,12,24,49,81,118,169,222,282,363,1324,5.5.5
13,V14,3,12,24,49,81,118,169,222,282,363,1324,5.5.5
14,V15,3,12,24,49,81,118,169,222,282,363,1324,5.5.5
15,V16,3,12,24,49,81,118,169,222,282,363,1324,5.5.5
16,V17,6,12,30,54,86,132,168,222,306,374,1391,5.5.5.5.5.5.8.8.8.8.8.8.*.*.*
17,V18,6,12,30,54,86,132,168,222,306,374,1391,5.5.5.5.5.5.8.8.8.8.8.8.*.*.*
18,V19,6,12,30,54,86,132,168,222,306,374,1391,5.5.5.5.5.5.8.8.8.8.8.8.*.*.*
