,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0942,0.0942,0.0942,"x, x, x",8 c,3m
1,E2,0.9563,0.8607,0.9563,"x, y, x",24 g,m
2,E3,0.1663,0.1663,0.3281,"x, x, z",24 g,m
3,E4,0.2722,0.2722,0.0782,"x, x, z",24 g,m
4,E5,0.3006,0.205,0.3006,"x, y, x",24 g,m
5,E6,0.1379,0.2335,0.0506,"x, y, z",48 h,1
6,E7,0.0,0.1441,0.5,"0, y, 1/2",24 f,2
7,E8,0.25,0.056,0.4119,"x, y, z",48 h,1
8,E9,0.2784,0.1828,0.4402,"x, y, z",48 h,1
9,E10,0.0284,0.1157,0.3732,"x, y, z",48 h,1
10,E11,0.1157,0.1157,0.5946,"x, x, z",24 g,m
11,E12,0.3171,0.317,0.4126,"x, x, z",24 g,m
12,E13,0.2215,0.5,0.5,"x, 1/2, 1/2",12 e,mm2
