,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.5,0.2265,0.25,"1/2, y, 1/4",4 c,2
1,E2,0.351,0.2715,0.1703,"x, y, z",8 d,1
2,E3,0.4248,0.1874,0.2804,"x, y, z",8 d,1
3,E4,0.4938,0.1874,0.175,"x, y, z",8 d,1
4,E5,0.4185,0.1482,0.2054,"x, y, z",8 d,1
5,E6,0.2238,0.3341,0.0705,"x, y, z",8 d,1
6,E7,0.2269,0.3792,0.1414,"x, y, z",8 d,1
7,E8,0.3834,0.1482,0.4306,"x, y, z",8 d,1
8,E9,0.4247,0.1091,0.2804,"x, y, z",8 d,1
9,E10,0.5063,0.1091,0.325,"x, y, z",8 d,1
10,E11,0.1673,0.3968,0.0766,"x, y, z",8 d,1
11,E12,0.5,0.07,0.25,"1/2, y, 1/4",4 c,2
12,E13,0.3741,0.0059,0.1765,"x, y, z",8 d,1
