,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.996,0.4639,0.0497,"x, y, z",24 c,1
1,E2,0.9887,0.4109,0.0706,"x, y, z",24 c,1
2,E3,0.9566,0.3973,0.0249,"x, y, z",24 c,1
3,E4,0.0404,0.3772,0.9918,"x, y, z",24 c,1
4,E5,0.078,0.0643,0.11,"x, y, z",24 c,1
5,E6,0.0058,0.0977,0.1746,"x, y, z",24 c,1
6,E7,0.0274,0.415,0.2809,"x, y, z",24 c,1
7,E8,0.0654,0.3806,0.2551,"x, y, z",24 c,1
8,E9,0.0721,0.3944,0.3104,"x, y, z",24 c,1
9,E10,0.1551,0.3258,0.274,"x, y, z",24 c,1
10,E11,0.2317,0.2458,0.2775,"x, y, z",24 c,1
