,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.0,0.1095,"0, 0, z",12 f,mm2
1,E2,0.9453,0.0338,0.0886,"x, y, z",48 l,1
2,E3,0.0,0.0898,0.1734,"0, y, z",24 k,m
3,E4,0.0,0.1722,0.2683,"0, y, z",24 k,m
4,E5,0.0338,0.1201,0.2953,"x, y, z",48 l,1
5,E6,0.0338,0.1803,0.3263,"x, y, z",48 l,1
6,E7,0.0,0.2953,0.2746,"0, y, z",24 k,m
7,E8,0.0,0.1283,0.3533,"0, y, z",24 k,m
8,E9,0.1134,0.098,0.3928,"x, y, z",48 l,1
9,E10,0.0,0.4323,0.1592,"0, y, z",24 k,m
10,E11,0.0676,0.5,0.1592,"x, 1/2, z",24 k,m
11,E12,0.0338,0.3953,0.2046,"x, y, z",48 l,1
12,E13,0.1047,0.4661,0.2046,"x, y, z",48 l,1
