,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.25,0.3448,0.2205,"1/4, y, z",4 k,m
1,E2,0.1616,0.5,0.2205,"c, 1/4, z",4 j,m
2,E3,0.1616,0.3448,0.3602,"x, y, z",8 l,1
3,E4,0.0979,0.25,0.1746,"x, y, z",8 l,1
4,E5,0.25,0.3448,0.5,"1/4, y, z",4 k,m
5,E6,0.1616,0.5,0.5,"x, 1/2, z",4 j,m
6,E7,0.103,0.25,0.5604,"x, y, z",8 l,1
7,E8,0.0,0.1552,0.5,"0, y, 1/2",4 h,2
8,E9,0.0444,0.0,0.6208,"x, 0, z",4 i,m
9,E10,0.0051,0.1552,0.746,"x, y, z",8 l,1
10,E11,0.0,0.1552,0.0,"0, y, 0",4 g,2
11,E12,0.0342,0.0,0.1288,"x, 0, z",4 i,m
