,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.3644,0.0,"0, y,",4 g,2
1,E2,0.0081,0.5,0.1249,"x, 1/2, z",4 j,m
2,E3,0.0001,0.3644,0.2499,"x, y, z",8 l,1
3,E4,0.0303,0.25,0.1393,"x, y, z",8 l,1
4,E5,0.0,0.3644,0.5,"0, y, 1/2",4 h,2
5,E6,0.0078,0.5,0.6251,"x, 0, z",4 i,m
6,E7,0.0302,0.25,0.6118,"x, y, z",8 l,1
7,E8,0.25,0.0,0.5041,"1/2, 0, z",2 e,mm2
8,E9,0.2076,0.0,0.3768,"x, 0, z",4 i,m
9,E10,0.166,0.0,0.5287,"x, 0, z",4 i,m
10,E11,0.25,0.0,0.2496,"1/4, 0, z",2 g,mm2
11,E12,0.1661,0.0,0.2238,"x, 0m z",4 i,m
12,E13,0.0884,0.0678,0.5759,"x, y, z",8 l,1
13,E14,0.0885,0.0678,0.1759,"x, y, z",8 l,1
14,E15,0.0525,0.0,0.5985,"x, 0, z",4 i,m
15,E16,0.0526,0.0,0.1538,"x, 0, z",4 i,m
