,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.4524,0.2262,0.1135,"2y, 2, z",12 k,m
1,E2,0.5596,0.1192,0.1135,"x, 2x, z",12 k,m
2,E3,0.3333,0.0595,0.122,"x, y, z",24 l,1
3,E4,0.3695,0.1312,0.0959,"x, y, z",24 l,1
4,E5,0.4163,0.1546,0.1396,"x, y, z",24 l,1
5,E6,0.1071,0.8929,0.1306,"x, 1-x, z",12 k,m
6,E7,0.2142,0.1071,0.1306,"2y, y, z",12 k,m
7,E8,0.2503,0.0717,0.1045,"x, y, z",24 l,1
8,E9,0.2972,0.095,0.1481,"x, y, z",24 l,1
9,E10,0.2146,0.1073,0.0523,"2y, y, z",12 k,m
10,E11,0.0357,0.9643,0.0262,"x, 1-x, z",12 k,m
11,E12,0.1071,0.1071,0.0,"x, x, 0",12 1,2
12,E13,0.631,0.369,0.2179,"x, 1-x, z",12 k,m
13,E14,0.524,0.262,0.25,"2y, y, 1/4",6 h,mm2
14,E15,0.452,0.226,0.1918,"2y, y, z",12 k,m
