,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.1971,0.375,0.4471,"x, 3/8, 1/4+x",24 h,2
1,E2,0.2113,0.3224,0.4612,"x, y, z",48 i,1
2,E3,0.2448,0.3923,0.4277,"x, y, z",48 i,1
3,E4,0.2694,0.3224,0.4524,"x, y, z",48 i,1
4,E5,0.2635,0.3647,0.3768,"x, y, z",48 i,1
5,E6,0.2853,0.318,0.4016,"x, y, z",48 i,1
6,E7,0.0,0.25,0.555,"0, 1/4, z",24 f,2
7,E8,0.1091,0.2776,0.5827,"x, y, z",48 i,1
8,E9,0.0741,0.3096,0.5506,"x, y, z",48 i,1
9,E10,0.3283,0.4217,0.375,"x, 3/4-x, 3/8",24 h,2
10,E11,0.3181,0.3429,0.3648,"x, y, z",48 i,1
