,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.5,0.1074,0.1373,"1/2, y, z",8 p,m
1,E2,0.3973,0.0,0.1373,"x, 0, z",8 0,m
2,E3,0.3448,0.1076,0.1099,"x, y, z",16 r,1
3,E4,0.3025,0.1076,0.1526,"x, y, z",16 r,1
4,E5,0.2922,0.0,0.0824,"x, 0, z",8 o,m
5,E6,0.1973,0.1076,0.0977,"x, y, z",16 r,1
6,E7,0.3449,0.1053,0.0564,"x, y, z",16 r,1
7,E8,0.0,0.1076,0.1129,"0, y, z",8 o,m
8,E9,0.1025,0.0,0.1129,"x, 0, z",8 o,m
9,E10,0.1551,0.1077,0.1404,"x, y, z",16 r,1
10,E11,0.2077,0.0,0.1679,"x, 0, z",8 o,m
11,E12,0.155,0.1054,0.1937,"x, y, z",16 r,1
12,E13,0.5,0.103,0.0305,"1/2, y, z",8 p,m
13,E14,0.3976,0.0,0.0305,"x, 0, z",8 o,m
14,E15,0.3976,0.103,0.0,"x, y, 0",8 q,m
15,E16,0.0,0.103,0.2196,"0, y, z",8 o,m
16,E17,0.1022,0.0,0.2196,"x, 0, z",8 o,m
17,E18,0.1026,0.1026,0.25,"x, x, 1/4",8 n,2
