,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.5,0.176,"0, 1/2, z",4 i,mm2
1,E2,0.0636,0.5,0.0,"x, 1/2, 0",4 n,mm2
2,E3,0.0636,0.4423,0.25,"x, y, z",16 u,1
3,E4,0.0,0.2691,0.176,"0, y, z",8 s,m
4,E5,0.0636,0.2691,0.0,"x, y, 0",8 p,m
5,E6,0.0636,0.3268,0.25,"x, y, z",16 u,1
6,E7,0.0636,0.2113,0.25,"x, y, z",16 u,1
7,E8,0.0,0.3845,0.324,"0, y, z",8 s,m
8,E9,0.0636,0.3845,0.5,"x, y, 1/2",8 q,m
9,E10,0.1086,0.1086,0.324,"x, x, z",8 r,m
10,E11,0.0,0.1536,0.324,"0, y, z",8 s,m
11,E12,0.0636,0.1536,0.5,"x, y, 1/2",8 q,m
