,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.5,0.3517,0.0,"1/2, y, z",4 a,m
1,E2,0.4099,0.3163,0.0762,"x, y, z",8 b,1
2,E3,0.4099,0.3945,0.0717,"x, y, z",8 b,1
3,E4,0.3674,0.3517,0.9246,"x, y, z",8 b,1
4,E5,0.5,0.2808,0.1525,"1/2, y, z",4 a,m
5,E6,0.4099,0.359,0.1479,"x, y, z",8 b,1
6,E7,0.3469,0.2339,0.186,"x, y, z",8 b,1
7,E8,0.5,0.4372,0.1433,"1/2, y, z",4 a,m
8,E9,0.3677,0.5003,0.1743,"x, y, z",8 b,1
9,E10,0.2295,0.1676,0.2843,"x, y, z",8 b,1
10,E11,0.1748,0.1058,0.2772,"x, y, z",8 b,1
11,E12,0.2292,0.1252,0.2125,"x, y, z",8 b,1
