,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.5423,0.0846,0.2127,"x, 2x, z",12 k,m,2
1,V2,4,0.3374,0.056,0.1425,"x, y, z",24 l,1,1
2,V3,4,0.2044,0.7956,0.0827,"x, 1-x, z",12 k,m,2
3,V4,4,0.4644,0.9288,0.0805,"x, 2x, z",12 k,m,2
4,V5,4,0.1265,0.253,0.1202,"z, 2x, z",12 k,m,2
5,V6,4,0.1244,0.2488,0.2127,"x, 2x, z",12 k,m,2
6,V7,4,0.2033,0.4066,0.25,"x, 2x, 1/4",6 h,mm2,4
7,V8,4,0.5424,0.0848,0.118,"x, 2x, z",12 k,m,2
8,V9,4,0.4636,0.5364,0.25,"x, 1-x, 1/4",6 h,mm2,4
9,V10,4,0.6725,0.949,0.9784,"x, y, z",24 l,1,1
10,V11,4,0.4573,0.9146,0.9569,"x, 2x, z",12 k,m,2
11,V12,4,0.1223,0.8777,0.0464,"x, 1-x, z",12 k,m,2
12,V13,4,0.0,0.0,0.0624,"0, 0, z",4 e,3m,6
13,V14,4,0.0,0.0,0.1092,"0, 0, z",4 e,3m,6
14,V15,4,0.3333,0.6667,0.7734,"1/3, 2/3, z",4 f,3m,6
15,V16,4,0.3333,0.6667,0.8958,"1/3, 2/3, z",4 f,3m,6
16,V17,4,0.6667,0.3333,0.0573,"2/3, 1/3, z",4 f,3m,6
17,V18,4,0.3333,0.0539,0.1894,"x, y, z",24 l,1,1
18,V19,4,0.0,0.0,0.2266,"0, 0, z",4 e,3m,6
