,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,12,23,41,64,92,128,169,205,263,1002,5.5.5.5.5.6
1,V2,4,11,24,41,63,92,128,173,216,264,1017,4.5.5.6.5.6
2,V3,4,12,25,43,66,93,129,171,215,272,1031,5.5.5.5.5.6
3,V4,4,12,25,42,70,92,126,173,216,272,1033,5.5.5.5.5.6
4,V5,4,12,23,41,65,91,130,170,213,260,1010,5.5.5.5.5.6
5,V6,4,12,23,41,64,92,128,168,208,263,1004,5.5.5.5.5.6
6,V7,4,12,25,42,68,90,122,167,212,266,1009,5.5.5.5.5.6
7,V8,4,12,23,41,64,95,130,166,213,268,1017,5.5.5.5.5.6
8,V9,4,12,25,42,68,90,122,167,214,264,1009,5.5.5.5.5.6
9,V10,4,12,25,43,68,94,132,176,219,267,1041,5.5.5.5.5.6
10,V11,4,12,25,43,67,96,131,173,218,269,1039,5.5.5.5.5.6
11,V12,4,12,24,39,66,100,128,168,211,263,1016,5.5.5.5.5.5
12,V13,4,12,24,36,61,107,136,156,207,256,1000,5.5.5.5.5.5
13,V14,4,12,24,36,61,101,133,162,204,262,1000,5.5.5.5.5.5
14,V15,4,12,24,36,61,101,133,156,207,258,993,5.5.5.5.5.5
15,V16,4,12,24,36,64,106,129,156,216,262,1010,5.5.5.5.5.5
16,V17,4,12,24,39,66,103,130,162,213,270,1024,5.5.5.5.5.5
17,V18,4,11,24,41,63,91,129,171,216,261,1012,4.5.5.6.5.6
18,V19,4,12,24,36,61,101,133,156,204,262,994,5.5.5.5.5.5
