,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.5029,0.0058,0.2314,"x, 2x, z",12 k,m
1,E2,0.6045,0.209,0.2196,"x, 2x, z",12 k,m
2,E3,0.4378,0.0693,0.201,"x, y, z",24 l,1
3,E4,0.3374,0.1687,0.1425,"2y, y, z",12 k,m
4,E5,0.2319,0.9647,0.1313,"x, y, z",24 l,1
5,E6,0.4398,0.0704,0.1303,"x, y, z",24 l,1
6,E7,0.3354,0.055,0.1659,"x, y, z",24 l,1
7,E8,0.1377,0.6656,0.0816,"x, y, z",24 l,1
8,E9,0.1654,0.8346,0.1014,"x, 1-x, z",12 k,m
9,E10,0.1634,0.8366,0.0646,"x, 1-x, z",12 k,m
10,E11,0.5034,0.0068,0.0993,"x, 2x, z",12 k,m
11,E12,0.5035,0.007,0.0618,"x, 2x, z",12 k,m
12,E13,0.0632,0.1264,0.1147,"x, 2x, z",12 k,m
13,E14,0.1638,0.3276,0.2314,"x, 2x, z",12 k,m
14,E15,0.0352,0.2641,0.201,"x, y, z",24 l,1
15,E16,0.0622,0.1244,0.2196,"x, 2x, z",12 k,m
16,E17,0.3334,0.4714,0.25,"x, y, 1/4",12 j,m
17,E18,0.6045,0.209,0.1111,"x, 2x, z",12 k,m
18,E19,0.6726,0.8363,0.9784,"2y, y, z",12 k,m
19,E20,0.698,0.0,0.0,"x, 0, 0",12 i,2
20,E21,0.5649,0.9319,0.9677,"x, y, z",24 l,1
21,E22,0.7751,0.0357,0.966,"x, y, z",24 l,1
22,E23,0.3953,0.7906,0.9498,"x, 2x, z",12 k,m
23,E24,0.0611,0.9389,0.0544,"x, 1-x, z",12 k,m
24,E25,0.0,0.0,0.0858,"0, 0, z",4 e,3m
25,E26,0.3333,0.6667,0.75,"1/3, 2/3, 3/4",2 d,-6m2
26,E27,0.3333,0.6667,0.9192,"1/3, 2/3, z",4 f,3m
27,E28,0.3334,0.1667,0.1894,"2y, y, z",12 k,m
28,E29,0.0,0.0,0.25,"0, 0, 1/4",2 b,-6m2
