,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0045,0.1071,0.0,"x, y, z",8 f,1
1,E2,0.1443,0.0512,0.9769,"x, y, z",8 f,1
2,E3,0.1504,0.0525,0.1643,"x, y, z",8 f,1
3,E4,0.1488,0.1583,0.9769,"x, y, z",8 f,1
4,E5,0.1103,0.3059,0.0231,"x, y, z",8 f,1
5,E6,0.155,0.1596,0.1643,"x, y, z",8 f,1
6,E7,0.905,0.3046,0.9143,"x, y, z",8 f,1
7,E8,0.0046,0.2916,0.125,"x, y, z",8 f,1
8,E9,0.2947,0.1037,0.1411,"x, y, z",8 f,1
9,E10,0.4938,0.1037,0.0626,"x, y, z",8 f,1
10,E11,0.3943,0.1167,0.8519,"x, y, z",8 f,1
11,E12,0.4004,0.118,0.5393,"x, y, z",8 f,1
