,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.1428,0.2856,0.1014,"x, 2x, y",18 h,m
1,E2,0.1188,0.3051,0.0564,"x, y, z",36 i,1
2,E3,0.1427,0.3531,0.0991,"x, y, z",36 i,1
3,E4,0.0067,0.2413,0.1261,"x, y, z",36 i,1
4,E5,0.1862,0.3725,0.0541,"x, 2x, z",18 h,m
5,E6,0.1726,0.3451,0.959,"x, 2x, z",18 h,m
6,E7,0.2493,0.4986,0.097,"x, 2x, z",18 h,m
7,E8,0.0225,0.9774,0.4304,"x, 1-x, z",18 h,m
8,E9,0.2588,0.1294,0.1507,"2y, y, z",18 h,m
9,E10,0.3333,0.0991,0.1667,"1/3, y, 1/6",18 g,2
10,E11,0.2799,0.1062,0.1954,"x, y, z",36 i,1
11,E12,0.3123,0.1223,0.122,"x, y, z",36 i,1
