,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.1152,0.2892,0.3132,"x, y, z",36 i,1
1,E2,0.2071,0.3552,0.305,"x, y, z",36 i,1
2,E3,0.1572,0.3142,0.2495,"x, 2x, z",18 h,m
3,E4,0.1337,0.2673,0.3415,"x, 2x, z",18 h,m
4,E5,0.1078,0.3333,0.3333,"x 1/3, 1/3",18 g,2
5,E6,0.0139,0.2159,0.3509,"x, y, z",36,1
6,E7,0.1649,0.3299,0.1796,"x, 2x, z",18 h,m
7,E8,0.1329,0.2658,0.1913,"x, 2x, z",18 h,m
8,E9,0.1392,0.2783,0.1566,"x, 2x, z",18 h,m
9,E10,0.1868,0.3735,0.1135,"x, 2x, z",18 h,m
10,E11,0.0732,0.1463,0.1685,"x, 2x, z",18 h,m
11,E12,0.1856,0.4299,0.0545,"x, y, z",36,1
12,E13,0.2114,0.1057,0.3603,"2y, y, z",18 h,m
13,E14,0.9804,0.0196,0.1686,"x, 1-x, z",18 h,m
