,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.3016,0.0,0.0,"x, 0, 0",4 e,2
1,E2,0.2901,0.1044,0.118,"x, y, z",8 i,1
2,E3,0.3645,0.0262,0.0297,"x, y, z",8 i,1
3,E4,0.25,0.1564,0.25,"1/4, y, 1/4",4 g,2
4,E5,0.2308,0.212,0.1976,"x, y, z",8 i,1
5,E6,0.2977,0.212,0.229,"x, y, z",8 i,1
6,E7,0.25,0.2677,0.25,"1/4, y, 1/4",4 g,2
7,E8,0.1279,0.3052,0.1837,"x, y, z",8 i,1
8,E9,0.0,0.3428,0.1487,"0, y, z",4 h,m
9,E10,0.0363,0.3926,0.1014,"x, y, z",8 i,1
10,E11,0.0,0.0,0.5,"0, 0, 1/2",2 a,2/m
11,E12,0.0,0.5,0.0,"0, 1/2, 0",2 d,2/m
