,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.5187,0.0375,0.107,"x, 2x, z",12 k,m
1,E2,0.4004,0.0671,0.0627,"x, y, z",24 l,1
2,E3,0.3816,0.9409,0.0887,"x, y, z",24 l,1
3,E4,0.4595,0.0966,0.1513,"x, y, z",24 l,1
4,E5,0.3709,0.1855,0.0183,"2y, y, z",12 k,m
5,E6,0.3226,0.0,0.0,"x, 0, 0",12 i,2
6,E7,0.43,0.1261,0.974,"x, y, z",24 l,1
7,E8,0.1556,0.5778,0.0704,"2y, y, z",12 k,m
8,E9,0.2445,0.489,0.0704,"x, 2x, z",12 k,m
9,E10,0.489,0.2445,0.1957,"2y, y, z",12 k,m
10,E11,0.5778,0.1556,0.1957,"2y, y, z",12 k,m
11,E12,0.489,0.1556,0.25,"x, y, 1/4",12 j,m
