,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0211,0.1609,0.513,"x, y, z",8 f,1
1,E2,0.0008,0.0055,0.4181,"x, y, z",8 f,1
2,E3,0.9541,0.1131,0.4381,"x, y, z",8 f,1
3,E4,0.0678,0.0533,0.493,"x, y, z",8 f,1
4,E5,0.0505,0.28,0.3918,"x, y, z",8 f,1
5,E6,0.9533,0.1076,0.52,"x, y, z",8 f,1
6,E7,0.0669,0.0478,0.5749,"x, y, z",8 f,1
7,E8,0.048,0.2638,0.6643,"x, y, z",8 f,1
8,E9,0.1963,0.0438,0.0942,"x, y, z",8 f,1
9,E10,0.3516,0.0778,0.1999,"x, y, z",8 f,1
10,E11,0.3499,0.9607,0.1405,"x, y, z",8 f,1
11,E12,0.4226,0.0106,0.2069,"x, y, z",8 f,1
