,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.0918,0.125,0.5585,"x, y, z",192 i,1,1
1,V2,4,0.2378,0.3021,0.3353,"x, y, z",192 i,1,1
2,V3,4,0.2814,0.3146,0.3479,"x, y, z",192 i,1,1
3,V4,4,0.0052,0.0385,0.278,"x, y, z",192 i,1,1
4,V5,4,0.2259,0.2591,0.3205,"x, y, z",192 i,1,1
5,V6,4,0.0339,0.1239,0.3638,"x, y, z",192 i,1,1
6,V7,4,0.0771,0.1104,0.3764,"x, y, z",192 i,1,1
7,V8,4,0.0494,0.1424,0.3234,"x, y, z",192 i,1,1
8,V9,4,0.0917,0.125,0.3342,"x, y, z",192 i,1,1
9,V10,4,0.0636,0.1531,0.4437,"x, y, z",192 i,1,1
10,V11,4,0.0917,0.125,0.4186,"x, y, z",192 i,1,1
11,V12,4,0.167,0.2555,0.2888,"x, y, z",192 i,1,1
12,V13,4,0.01,0.1242,0.3052,"x, y, z",192 i,1,1
13,V14,4,0.0078,0.1535,0.3894,"x, y, z",192 i,1,1
14,V15,4,0.0212,0.1693,0.4316,"x, y, z",192 i,1,1
15,V16,4,0.0069,0.2099,0.3346,"x, y, z",192 i,1,1
16,V17,4,0.0335,0.1833,0.3064,"x, y, z",192 i,1,1
