,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.1084,0.1084,0.5585,"x, x, z",96 g,m
1,E2,0.1084,0.1416,0.5585,"x, x, z",96 g,m
2,E3,0.0752,0.125,0.5752,"x, 1/8, 1/2+x",96 h,2
3,E4,0.0782,0.1386,0.545,"x, y, z",192 i,1
4,E5,0.2378,0.3187,0.3187,"x, y, y",96 g,m
5,E6,0.2596,0.3083,0.3416,"x, y, z",192 i,1
6,E7,0.2318,0.2806,0.3279,"x, y, z",192 i,1
7,E8,0.2157,0.3079,0.3411,"x, y, z",192 i,1
8,E9,0.298,0.298,0.3479,"x, x, z",96 g,m
9,E10,0.2814,0.3312,0.3313,"x, y, y",96 g,m
10,E11,0.0219,0.0218,0.278,"x, x, z",96 g,m
11,E12,0.9886,0.0385,0.2614,"x, 1-x, z",96 g,m
12,E13,0.9981,0.0313,0.2992,"x, y, z",192 i,1
13,E14,0.9999,0.0607,0.2834,"x, y, z",192 i,1
14,E15,0.2425,0.2425,0.3205,"x, x, z",96 g,m
15,E16,0.2038,0.2651,0.3256,"x, y, z",192 i,1
16,E17,0.0555,0.1171,0.3701,"x, y, z",192 i,1
17,E18,0.0417,0.1332,0.3436,"x, y, z",192 i,1
18,E19,0.0209,0.1387,0.3766,"x, y, z",192 i,1
19,E20,0.013,0.1172,0.3551,"x, y, z",192 i,1
20,E21,0.0937,0.0938,0.3764,"x, x, z",96 g,m
21,E22,0.0844,0.1177,0.3553,"x, y, z",192 i,1
22,E23,0.0844,0.1177,0.3975,"x, y, z",192 i,1
23,E24,0.0706,0.1337,0.3288,"x, y, z",192 i,1
24,E25,0.0297,0.1333,0.3143,"x, y, z",192 i,1
25,E26,0.0414,0.1629,0.3149,"x, y, z",192 i,1
26,E27,0.1084,0.1084,0.3342,"x, x, z",96 g,m
27,E28,0.1084,0.1416,0.3342,"x, 1/4-x, z",96 g,m
28,E29,0.0802,0.1697,0.4437,"x, 1/4-x, z",96 g,m
29,E30,0.0777,0.1391,0.4312,"x, y, z",192 i,1
30,E31,0.0424,0.1612,0.4377,"x, y, z",192 i,1
31,E32,0.1084,0.1084,0.4186,"x, x, z",96 g,m
32,E33,0.1084,0.1416,0.4186,"x, 1/4-x, z",96 g,m
33,E34,0.167,0.2721,0.2722,"x, y, y",96 g,m
34,E35,0.1464,0.2477,0.297,"x, y, z",192 i,1
35,E36,0.1743,0.2633,0.3097,"x, y, z",192 i,1
36,E37,0.0011,0.1174,0.3258,"x, y, z",192 i,1
37,E38,0.0015,0.1448,0.2977,"x, y, z",192 i,1
38,E39,0.0145,0.1614,0.4105,"x, y, z",192 i,1
39,E40,0.0235,0.2265,0.3346,"x, 1/4-x, z",96 g,m
40,E41,0.0202,0.1966,0.3205,"x, y, z",192 i,1
41,E42,0.9867,0.2017,0.3256,"x, y, z",192 i,1
42,E43,0.0501,0.1999,0.3064,"x, 1/4-x, z",96 g,m
