,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.0339,0.4143,0.2505,"x, y, z",48 l,1,1
1,V2,4,0.0339,0.36,0.2101,"x, y, z",48 l,1,1
2,V3,4,0.0652,0.3003,0.2032,"x, y, z",48 l,1,1
3,V4,4,0.2005,0.2039,0.2856,"x, y, z",48 l,1,1
4,V5,4,0.0653,0.2353,0.0881,"x, y, z",48 l,1,1
5,V6,4,0.0861,0.2024,0.2234,"x, y, z",48 l,1,1
6,V7,4,0.1072,0.1477,0.2573,"x, y, z",48 l,1,1
7,V8,4,0.1761,0.2601,0.2568,"x, y, z",48 l,1,1
8,V9,4,0.0926,0.3278,0.1477,"x, y, z",48 l,1,1
9,V10,4,0.088,0.0955,0.296,"x, y, z",48 l,1,1
10,V11,4,0.0339,0.2095,0.1422,"x, y, z",48 l,1,1
11,V12,4,0.1068,0.1177,0.1966,"x, y, z",48 l,1,1
12,V13,4,0.0339,0.2402,0.2026,"x, y, z",48 l,1,1
13,V14,4,0.1454,0.2898,0.1666,"x, y, z",48 l,1,1
14,V15,4,0.118,0.2622,0.222,"x, y, z",48 l,1,1
15,V16,4,0.0872,0.1728,0.1624,"x, y, z",48 l,1,1
16,V17,4,0.0339,0.261,0.0339,"x, y, z",48 l,1,1
17,V18,4,0.0339,0.4661,0.1351,"x, y, z",48 l,1,1
18,V19,4,0.0339,0.4114,0.0951,"x, y, z",48 l,1,1
19,V20,4,0.0339,0.3825,0.0339,"x, y, z",48 l,1,1
20,V21,4,0.0339,0.0639,0.3217,"x, y, z",48 l,1,1
21,V22,4,0.0588,0.3863,0.1529,"x, y, z",48 l,1,1
22,V23,4,0.058,0.4408,0.1931,"x, y, z",48 l,1,1
