,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,9,16,25,36,49,66,87,110,135,538,4.4.4.6.6.10
1,V2,4,9,16,25,36,49,65,85,108,133,531,4.4.4.6.6.10
2,V3,4,9,16,25,36,49,64,82,104,129,519,4.4.4.6.6.10
3,V4,4,9,16,25,36,49,64,81,101,124,510,4.4.4.6.6.10
4,V5,4,9,16,25,36,49,64,82,103,126,515,4.4.4.6.6.10
5,V6,4,9,16,25,36,49,64,81,101,125,511,4.4.4.6.6.10
6,V7,4,9,16,25,36,49,64,82,103,126,515,4.4.4.6.6.10
7,V8,4,9,16,25,36,49,64,81,100,124,509,4.4.4.6.6.10
8,V9,4,9,16,25,36,49,65,84,105,129,523,4.4.4.6.6.10
9,V10,4,9,16,25,36,49,65,84,105,128,522,4.4.4.6.6.10
10,V11,4,9,16,25,36,49,64,81,101,124,510,4.4.4.6.6.10
11,V12,4,9,16,25,36,49,64,81,101,124,510,4.4.4.6.6.10
12,V13,4,9,16,25,36,49,64,81,101,126,512,4.4.4.6.6.10
13,V14,4,9,16,25,36,49,64,82,103,126,515,4.4.4.6.6.10
14,V15,4,9,16,25,36,49,64,81,101,126,512,4.4.4.6.6.10
15,V16,4,9,16,25,36,49,64,81,100,123,508,4.4.4.6.6.10
16,V17,4,9,16,25,36,49,65,84,105,128,522,4.4.4.6.6.10
17,V18,4,9,16,25,37,52,69,88,110,136,547,4.4.4.6.6.12
18,V19,4,9,16,25,37,52,69,88,109,134,544,4.4.4.6.6.12
19,V20,4,9,16,25,37,52,69,88,109,133,543,4.4.4.6.6.12
20,V21,4,9,16,25,36,50,67,86,107,130,531,4.4.4.6.6.10
21,V22,4,9,16,25,36,50,67,86,108,133,535,4.4.4.6.6.10
22,V23,4,9,16,25,36,50,67,87,110,135,540,4.4.4.6.6.10
