,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.4143,0.2505,"0, y, z",24 k,m
1,E2,0.0339,0.3872,0.2303,"x, y, z",48 l,1
2,E3,0.046,0.4275,0.2218,"x, y, z",48 l,1
3,E4,0.0466,0.4281,0.2787,"x, y, z",48 l,1
4,E5,0.0,0.36,0.2101,"0, y, z",24 k,m
5,E6,0.0496,0.3302,0.2067,"x, y, z",48 l,1
6,E7,0.0463,0.3732,0.1815,"x, y, z",48 l,1
7,E8,0.0789,0.3141,0.1755,"x, y, z",48 l,1
8,E9,0.0496,0.2703,0.2029,"x, y, z",48 l,1
9,E10,0.0916,0.2812,0.2126,"x, y, z",48 l,1
10,E11,0.1883,0.232,0.2712,"x, y, z",48 l,1
11,E12,0.2286,0.19,0.2728,"x, y, z",48 l,1
12,E13,0.2219,0.2219,0.3047,"x, y, z",48 l,1
13,E14,0.1836,0.1747,0.2877,"x, y, z",48 l,1
14,E15,0.0804,0.2657,0.0881,"x, y, z",48 l,1
15,E16,0.0496,0.2224,0.1151,"x, y, z",48 l,1
16,E17,0.0915,0.2159,0.0975,"x, y, z",48 l,1
17,E18,0.0496,0.2481,0.061,"x, y, z",48 l,1
18,E19,0.0966,0.1751,0.2403,"x, y, z",48 l,1
19,E20,0.06,0.2213,0.213,"x, y, z",48 l,1
20,E21,0.1021,0.2323,0.2227,"x, y, z",48 l,1
21,E22,0.0866,0.1876,0.1929,"x, y, z",48 l,1
22,E23,0.0976,0.1216,0.2767,"x, y, z",48 l,1
23,E24,0.107,0.1327,0.2269,"x, y, z",48 l,1
24,E25,0.1369,0.1466,0.2735,"x, y, z",48 l,1
25,E26,0.1471,0.2611,0.2394,"x, y, z",48 l,1
26,E27,0.094,0.3119,0.1179,"x, y, z",48 l,1
27,E28,0.119,0.3088,0.1572,"x, y, z",48 l,1
28,E29,0.0757,0.3571,0.1503,"x, y, z",48 l,1
29,E30,0.061,0.0797,0.3089,"x, y, z",48 l,1
30,E31,0.0,0.2095,0.1422,"0, y, z",24 k,m
31,E32,0.0339,0.2249,0.1724,"x, y, z",48 l,1
32,E33,0.0605,0.1912,0.1523,"x, y, z",48 l,1
33,E34,0.097,0.1453,0.1795,"x, y, z",48 l,1
34,E35,0.1346,0.1024,0.1847,"x, y, z",48 l,1
35,E36,0.0,0.2402,0.2026,"0, t, z",24 k,m
36,E37,0.1317,0.276,0.1943,"x, y, z",48 l,1
37,E38,0.0339,0.261,0.0,"x, y, 0",24 k,m
38,E39,0.0,0.261,0.0339,"0, y, z",24 k,m
39,E40,0.0489,0.2914,0.0339,"x, y, z",48 l,1
40,E41,0.0,0.4661,0.1351,"0, y, z",24 k,m
41,E42,0.0339,0.5,0.1351,"x, 1/2, z",24 k,m
42,E43,0.0339,0.4388,0.1151,"x, y, z",48 l,1
43,E44,0.046,0.4534,0.1641,"x, y, z",48 l,1
44,E45,0.0,0.4114,0.0951,"o, y, z",24 k,m
45,E46,0.0339,0.3969,0.0645,"x, y, z",48 l,1
46,E47,0.0463,0.3989,0.124,"x, y, z",48 l,1
47,E48,0.0339,0.3825,0.0,"x, y, 0",24 k,m
48,E49,0.0,0.3825,0.0339,"0, y, z",24 k,m
49,E50,0.0489,0.3521,0.0339,"x, y, z",48 l,1
50,E51,0.0,0.0639,0.3217,"0, y, z",24 k,m
51,E52,0.0584,0.4135,0.173,"x, y, z",48 l,1
