,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.0546,0.2039,0.4563,"x, y, z",24 r,1,1
1,V2,4,0.2387,0.572,0.0437,"x, y, z",24 r,1,1
2,V3,4,0.1555,0.5304,0.1002,"x, y, z",24 r,1,1
3,V4,4,0.0546,0.48,0.1339,"x, y, z",24 r,1,1
4,V5,4,0.0912,0.277,0.3914,"x, y, z",24 r,1,1
5,V6,4,0.0546,0.3175,0.3295,"x, y, z",24 r,1,1
6,V7,4,0.0546,0.3761,0.2609,"x, y, z",24 r,1,1
7,V8,4,0.0992,0.4464,0.1947,"x, y, z",24 r,1,1
8,V9,4,0.1979,0.4905,0.1576,"x, y, z",24 r,1,1
9,V10,4,0.1277,0.3501,0.4563,"x, y, z",24 r,1,1
10,V11,4,0.0985,0.3939,0.3917,"x, y, z",24 r,1,1
11,V12,4,0.101,0.4529,0.3226,"x, y, z",24 r,1,1
12,V13,4,0.1419,0.5237,0.2563,"x, y, z",24 r,1,1
13,V14,4,0.2387,0.572,0.2157,"x, y, z",24 r,1,1
14,V15,4,0.0546,0.423,0.4563,"x, y, z",24 r,1,1
15,V16,4,0.0546,0.48,0.3866,"x, y, z",24 r,1,1
