,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,9,16,25,37,52,69,87,105,125,530,4.4.4.6.6.12
1,V2,4,9,16,25,37,53,73,96,121,148,583,4.4.4.6.6.12
2,V3,4,9,16,25,37,52,70,92,116,142,564,4.4.4.6.6.12
3,V4,4,9,16,25,37,52,69,88,111,141,553,4.4.4.6.6.12
4,V5,4,9,16,25,36,50,66,82,100,122,511,4.4.4.6.6.10
5,V6,4,9,16,25,36,48,62,80,100,121,502,4.4.4.6.6.10
6,V7,4,9,16,25,36,48,62,80,102,127,510,4.4.4.6.6.10
7,V8,4,9,16,25,36,50,66,84,106,132,529,4.4.4.6.6.10
8,V9,4,9,16,25,36,50,68,88,109,132,538,4.4.4.6.6.10
9,V10,4,9,16,25,36,48,61,76,93,113,482,4.4.4.6.6.10
10,V11,4,9,16,25,35,46,59,74,92,112,473,4.4.4.6.6.10
11,V12,4,9,16,25,35,46,59,75,94,115,479,4.4.4.6.6.10
12,V13,4,9,16,25,36,48,62,79,98,120,498,4.4.4.6.6.10
13,V14,4,9,16,25,36,49,64,81,100,121,506,4.4.4.6.6.10
14,V15,4,9,16,24,33,44,57,72,88,105,453,4.4.4.6.6.8
15,V16,4,9,16,24,33,44,57,72,89,108,457,4.4.4.6.6.8
