,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.1766,0.4563,"0, y, z",12 n,m
1,E2,0.102,0.2039,0.4563,"x, 2x, z",12 o,m
2,E3,0.0546,0.2039,0.5,"x, y, 1/2",12 q,m
3,E4,0.0729,0.2404,0.4239,"x, y, z",24 r,1
4,E5,0.2387,0.6193,0.0437,"2y, y, z",12 o,m
5,E6,0.286,0.572,0.0437,"x, 2x, z",12 o,m
6,E7,0.2387,0.572,0.0,"x, y, 0",12 p,m
7,E8,0.1971,0.5512,0.0719,"x, y, z",24 r,1
8,E9,0.1555,0.5778,0.1002,"2y, y, z",12 o,m
9,E10,0.105,0.5052,0.117,"x, y, z",24 r,1
10,E11,0.1767,0.5105,0.1289,"x, y, z",24 r,1
11,E12,0.0,0.4527,0.1339,"0, y, z",12 n,m
12,E13,0.0546,0.5273,0.1339,"2y, y, z",12 o,m
13,E14,0.0769,0.4632,0.1643,"x, y, z",24 r,1
14,E15,0.1385,0.277,0.3914,"x, 2x, z",12 o,m
15,E16,0.0729,0.2973,0.3604,"x, y, z",24 r,1
16,E17,0.1095,0.3136,0.4238,"x, y, z",24 r,1
17,E18,0.0,0.2902,0.3295,"0, y, z",12 n,m
18,E19,0.0546,0.3468,0.2952,"x, y, z",24 r,1
19,E20,0.0766,0.3557,0.3606,"x, y, z",24 r,1
20,E21,0.0,0.3488,0.2609,"0, y, z",12 n,m
21,E22,0.0769,0.4112,0.2278,"x, y, z",24 r,1
22,E23,0.0778,0.4145,0.2917,"x, y, z",24 r,1
23,E24,0.1486,0.4684,0.1761,"x, y, z",24 r,1
24,E25,0.1206,0.485,0.2255,"x, y, z",24 r,1
25,E26,0.2452,0.4905,0.1576,"x, 2x, z",12 o,m
26,E27,0.2183,0.5312,0.1866,"x, y, z",24 r,1
27,E28,0.175,0.3501,0.4563,"x.2x, z",12 o,m
28,E29,0.1277,0.3501,0.5,"x, y, 1/2",12 q,m
29,E30,0.1131,0.372,0.424,"x, y, z",24 r,1
30,E31,0.0998,0.4234,0.3571,"x, y, z",24 r,1
31,E32,0.0765,0.4085,0.424,"x, y, z",24 r,1
32,E33,0.1215,0.4883,0.2894,"x, y, z",24 r,1
33,E34,0.0778,0.4665,0.3546,"x, y, z",24 r,1
34,E35,0.1419,0.571,0.2563,"2y, y, z",12 o,m
35,E36,0.1903,0.5479,0.236,"x, y, z",24 r,1
36,E37,0.2387,0.6193,0.2157,"2y, y, z",12 o,m
37,E38,0.286,0.572,0.2157,"x, 2x, z",12 o,m
38,E39,0.0,0.3957,0.4563,"0, y, z",12 n,m
39,E40,0.0546,0.423,0.5,"x, y, 0",12 p,m
40,E41,0.0546,0.4515,0.4215,"x, y, z",24 r,1
41,E42,0.0,0.4527,0.3866,"0, y, z",12 n,m
42,E43,0.0546,0.5273,0.3866,"2y, y, z",12 o,m
