,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.8198,0.0919,0.3076,"x, y, z",8 j,1
1,E2,0.6752,0.9125,0.3059,"x, y, z",8 j,1
2,E3,0.7897,0.0626,0.4729,"x, y, z",8 j,1
3,E4,0.9427,0.1854,0.1513,"x, y, z",8 j,1
4,E5,0.0481,0.2559,0.1496,"x, y, z",8 j,1
5,E6,0.0873,0.156,0.1833,"x, y, z",8 j,1
6,E7,0.9909,0.2544,0.3009,"x, y, z",8 j,1
7,E8,0.7409,0.1795,0.3009,"x, y, z",8 j,1
8,E9,0.0301,0.1545,0.3346,"x, y, z",8 j,1
9,E10,0.8555,0.1545,0.4679,"x, y, z",8 j,1
10,E11,0.1355,0.2251,0.333,"x, y, z",8 j,1
11,E12,0.2109,0.3498,0.4663,"x, y, z",8 j,1
