,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0822,0.5411,0.0788,"2y, y, z",6 e,m
1,E2,0.1322,0.5424,0.9306,"x, y, z",12 f,1
2,E3,0.0,0.5,0.1575,"0, 0, z",3 c,mm2
3,E4,0.0273,0.49,0.2219,"x, y, z",12 f,1
4,E5,0.0,0.425,0.3602,"0, y, z",6 d,m
5,E6,0.0273,0.3873,0.4986,"x, y, z",12 f,1
6,E7,0.0,0.5,0.2863,"0, 1/2, z",3 c,mm2
7,E8,0.2035,0.407,0.6177,"x, 2x, z",6 e,m
8,E9,0.1054,0.3922,0.5904,"x, y, z",12 f,1
9,E10,0.174,0.4426,0.6867,"x, y, z",12 f,1
10,E11,0.0,0.3501,0.5631,"0, y, z",6 d,m
11,E12,0.2391,0.4782,0.7558,"x, 2x, z",6 e,m
12,E13,0.1733,0.5041,0.8085,"x, y, z",12 f,1
13,E14,0.1547,0.5774,0.8612,"2y, y, z",6 e,m
