,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.9926,0.2952,0.1984,"x, y, z",8 e,1
1,E2,0.2434,0.1361,0.9482,"x, y, z",8 e,1
2,E3,0.4934,0.1361,0.1551,"x, y, z",8 e,1
3,E4,0.4934,0.0907,0.0,"x, y, z",8 e,1
4,E5,0.25,0.0,0.1033,"1/4, 0, z",4 d,2
5,E6,0.2426,0.1813,0.1035,"x, y, z",8 e,1
6,E7,0.4918,0.2719,0.0,"x, y, z",8 e,1
7,E8,0.9934,0.1361,0.1551,"x, y, z",8 e,1
8,E9,0.4926,0.2267,0.1553,"x, y, z",8 e,1
9,E10,0.2426,0.2267,0.9484,"x, y, z",8 e,1
10,E11,0.9926,0.2267,0.1553,"x, y, z",8 e,1
