,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,3,5,13,26,35,46,60,86,122,158,555,3.8.12(3)
1,V2,3,5,13,25,34,47,62,90,124,148,552,3.8(2).12(3)
2,V3,3,5,13,24,31,46,61,92,127,159,562,3.8.8(2)
3,V4,3,5,13,25,32,44,58,88,136,160,565,3.8.8
4,V5,3,5,13,24,31,44,59,94,130,153,557,3.8.8(2)
5,V6,3,5,13,24,34,48,61,92,123,152,556,3.8.8(2)
6,V7,4,9,15,22,34,52,73,102,128,150,590,4.8.4.8.6.12(2)
7,V8,4,9,15,23,37,54,75,96,127,151,592,4.8.4.12(2).6.12(2)
8,V9,4,9,15,21,33,56,81,100,117,144,581,4.8.4.8.6.8
9,V10,4,9,15,21,32,55,78,102,117,142,576,4.8.4.8.6.8
10,V11,4,9,15,22,35,56,80,102,116,141,581,4.8.4.12(2).6.8
11,V12,4,9,15,21,31,50,81,102,118,146,578,4.8.4.8.6.8
