,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.3127,0.1466,0.1074,"x, y, z",32 g,1
1,E2,0.3055,0.0868,0.105,"x, y, z",32 g,1
2,E3,0.3485,0.0897,0.1562,"x, y, z",32 g,1
3,E4,0.127,0.0397,0.3324,"x, y, z",32 g,1
4,E5,0.0205,0.0353,0.3168,"x, y, z",32 g,1
5,E6,0.0491,0.1637,0.9967,"x, y, z",32 g,1
6,E7,0.1001,0.1316,0.9989,"x, y, z",32 g,1
7,E8,0.1441,0.2345,0.0044,"x, y, z",32 g,1
8,E9,0.1465,0.2027,0.2555,"x, y, z",32 g,1
9,E10,0.1168,0.3135,0.2616,"x, y, z",32 g,1
10,E11,0.227,0.1156,0.2526,"x, y, z",32 g,1
11,E12,0.2639,0.0181,0.0624,"x, y, z",32 g,1
12,E13,0.3747,0.0978,0.2085,"x, y, z",32 g,1
13,E14,0.4268,0.0952,0.2461,"x, y, z",32 g,1
14,E15,0.3281,0.1031,0.2433,"x, y, z",32 g,1
15,E16,0.3227,0.0368,0.1938,"x, y, z",32 g,1
16,E17,0.4212,0.0463,0.1919,"x, y, z",32 g,1
17,E18,0.23,0.2766,0.0282,"x, y, z",32 g,1
18,E19,0.2063,0.2766,0.9795,"x, y, z",32 g,1
19,E20,0.2762,0.0421,0.2286,"x, y, z",32 g,1
20,E21,0.2762,0.9626,0.2265,"x, y, z",32 g,1
