,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.3129,0.0,0.3058,"x, 0, z",8 m,m
1,E2,0.2937,0.1158,0.2876,"x, y, z",16 o,1
2,E3,0.3457,0.0312,0.3363,"x, y, z",16 o,1
3,E4,0.2504,0.1941,0.2219,"x, y, z",16 o,1
4,E5,0.2741,0.2253,0.2975,"x, y, z",16 o,1
5,E6,0.4165,0.0,0.4017,"x, 0, z",8 m,m
6,E7,0.4545,0.0,0.5,"x, 0, 1/2",4 f,mm2
7,E8,0.5,0.0,0.4366,"1/2, 0, z",4 j,mm2
8,E9,0.084,0.0956,0.0,"x, y, 0",8 n,m
9,E10,0.1557,0.1578,0.0317,"x, y, z",16 o,1
10,E11,0.0,0.0623,0.0,"0, y, 0",4 g,mm2
11,E12,0.0455,0.0,0.0,"x, 0, 0",4 e,mm2
12,E13,0.189,0.1867,0.0,"x, y, 0",8 n,m
13,E14,0.2077,0.2028,0.1189,"x, y, z",16 o,1
