,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.2587,0.0487,0.1463,"x, y, z",36 f,1
1,E2,0.212,0.0113,0.124,"x, y, z",36 f,1
2,E3,0.2641,0.1492,0.1101,"x, y, z",36 f,1
3,E4,0.2209,0.9737,0.1463,"x, y, z",36 f,1
4,E5,0.2911,0.995,0.1936,"x, y, z",36 f,1
5,E6,0.1338,0.2616,0.1151,"x, y, z",36 f,1
6,E7,0.3046,0.2622,0.0741,"x, y, z",36 f,1
7,E8,0.3152,0.2833,0.1054,"x, y, z",36 f,1
8,E9,0.2411,0.2488,0.1011,"x, y, z",36 f,1
9,E10,0.9866,0.3753,0.223,"x, y, z",36 f,1
10,E11,0.2279,0.3333,0.0833,"x, 1/3, 1/12",18 e,2
