,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.1945,0.0636,0.25,"x, y, 1/4",8 g,m
1,E2,0.2102,0.1141,0.1891,"x, y, z",16 h,1
2,E3,0.1816,0.0214,0.1554,"x, y, z",16 h,1
3,E4,0.2259,0.1646,0.25,"x, y, 1/4",8 g,m
4,E5,0.2336,0.1907,0.1367,"x, y, z",16 h,1
5,E6,0.0,0.0411,0.541,"0, y, z",8 f,m
6,E7,0.0374,0.0,0.5,"x, 0, 1/2",8 e,2
7,E8,0.0734,0.0521,0.5522,"x, y, z",16 h,1
8,E9,0.3283,0.4309,0.092,"x, y, z",16 h,1
9,E10,0.3579,0.4098,0.0628,"x, y, z",16 h,1
10,E11,0.3021,0.3412,0.0468,"x, y, z",16 h,1
11,E12,0.361,0.458,0.0926,"x, y, z",16 h,1
12,E13,0.2602,0.2582,0.0579,"x, y, z",16 h,1
13,E14,0.2312,0.2085,0.0265,"x, y, z",16 h,1
