,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.2988,0.3512,0.0,"x, y, 0",8 j,m
1,E2,0.215,0.3335,0.0889,"x, y, z",16 k,1
2,E3,0.2262,0.3788,0.0889,"x, y, z",16 k,1
3,E4,0.3641,0.3344,0.1414,"x, y, z",16 k,1
4,E5,0.1313,0.3157,0.0,"x, y, 0",8 j,m
5,E6,0.1425,0.361,0.0889,"x, y, z",16 k,1
6,E7,0.0943,0.2813,0.1349,"x, y, z",16 k,1
7,E8,0.1537,0.4063,0.0,"x, y, 0",8 j,m
8,E9,0.109,0.437,0.138,"x, y, z",16 k,1
9,E10,0.0,0.5,0.1871,"0, 1/2, z",8 i,2
10,E11,0.0,0.4677,0.25,"0, y, 1/4",8 g,2
11,E12,0.0643,0.5,0.25,"x, 1/2, 1/4",8 f,2
12,E13,0.0,0.247,0.25,"0, y, 1/4",8 g,2
13,E14,0.064,0.2147,0.2435,"x, y, z",16 k,1
14,E15,0.9933,0.2147,0.1875,"x, y, z",16 k,1
15,E16,0.0,0.1824,0.25,"0, y, 1/4",8 g,2
