,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.2365,0.2154,0.2452,"x, y, z",96 h,1
1,E2,0.2202,0.2587,0.271,"x, y, z",96 h,1
2,E3,0.1756,0.2047,0.2745,"x, y, z",96 h,1
3,E4,0.1257,0.153,0.2806,"x, y, z",96 h,1
4,E5,0.1103,0.1827,0.2975,"x, y, z",96 h,1
5,E6,0.0263,0.2237,0.125,"x, 1/4-x, 1/8",48 i,2
6,E7,0.0262,0.2763,0.125,"x, 1/4+x, 1/8",48 i,2
7,E8,0.0866,0.2642,0.1133,"x, y, z",96 h,1
8,E9,0.0914,0.1504,0.2953,"x, y, z",96 h,1
9,E10,0.052,0.2025,0.3304,"x, y, z",96 h,1
10,E11,0.0,0.25,0.3485,"0, y, z",48 j,m
11,E12,0.0015,0.2235,0.375,"x, y, z",96 h,1
