,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,5,0.0475,0.0992,0.0992,"x, y, y",96 g,m,2
1,V2,5,0.0067,0.0567,0.1423,"x, y, z",192 i,1,1
2,V3,5,0.1595,0.2624,0.2624,"x, y, y",96 g,m,2
3,V4,5,0.2286,0.2809,0.2809,"x, y, y",96 g,m,2
4,V5,5,0.0562,0.1414,0.3774,"x, y, z",192 i,1,1
5,V6,5,0.0741,0.1235,0.4458,"x, y, z",192 i,1,1
6,V7,5,0.0531,0.0531,0.4615,"x, x, z",96 g,m,2
7,V8,5,0.0088,0.1071,0.3314,"x, y, z",192 i,1,1
8,V9,5,0.2106,0.2602,0.35,"x, y, z",192 i,1,1
9,V10,5,0.0106,0.0106,0.4162,"x, x, z",96 g,m,2
10,V11,5,0.0745,0.1252,0.31,"x, y, z",192 i,1,1
