,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,5,14,29,50,76,106,140,180,230,302,1133,3.4.4.4.4.5.6.6.16(5).16(5)
1,V2,5,14,29,50,76,106,143,184,237,305,1150,3.4.4.4.4.5.6.6.16(5).16(5)
2,V3,5,14,29,50,76,108,147,193,248,311,1182,3.4.4.4.4.5.6.6.16(5).16(5)
3,V4,5,14,29,50,78,113,157,206,256,319,1228,3.4.4.4.4.5.6.6.*.*
4,V5,5,14,29,50,77,110,151,200,258,321,1216,3.4.4.4.4.5.6.6.16(5).16(5)
5,V6,5,14,29,51,80,116,161,211,265,327,1260,3.4.4.4.4.5.6.6.*.*
6,V7,5,14,30,53,83,120,166,218,271,332,1293,3.4.4.4.4.6.6.6.*.*
7,V8,5,14,29,50,77,110,152,199,254,319,1210,3.4.4.4.4.5.6.6.16(5).16(5)
8,V9,5,14,29,51,80,117,162,209,261,320,1249,3.4.4.4.4.5.6.6.18.*
9,V10,5,14,30,53,83,121,166,217,271,327,1288,3.4.4.4.4.6.6.6.18.18
10,V11,5,14,29,50,76,108,147,193,248,314,1185,3.4.4.4.4.5.6.6.16(5).16(5)
