,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0734,0.0733,0.0992,"x, x, z",96 g,m
1,E2,0.0475,0.125,0.125,"x, 1/8, 1/8",48 f,mm2
2,E3,0.0271,0.078,0.1207,"x, y, z",192 i,1
3,E4,0.0317,0.0317,0.1423,"x, x, z",96 g,m
4,E5,0.0067,0.0822,0.1678,"x, y, 1/4-y",96 g,m
5,E6,0.9971,0.0221,0.1509,"x, y, z",192 i,1
6,E7,0.9734,0.0656,0.1335,"x, y, z",192 i,1
7,E8,0.1941,0.2717,0.2717,"x, y, y",96 g,m
8,E9,0.1512,0.2969,0.2518,"x, y, z",192 i,1
9,E10,0.2548,0.2548,0.2809,"x, x, z",96 g,m
10,E11,0.2196,0.2706,0.3154,"x, y, z",192 i,1
11,E12,0.0824,0.1676,0.3774,"x, 1/4-x, z",96 g,m
12,E13,0.0652,0.1325,0.4116,"x, y, z",192 i,1
13,E14,0.0325,0.1243,0.3544,"x, y, z",192 i,1
14,E15,0.0237,0.155,0.3852,"x, y, z",192 i,1
15,E16,0.0654,0.1333,0.3437,"x, y, z",192 i,1
16,E17,0.0988,0.0988,0.4458,"x, x, z",96 g,m
17,E18,0.1003,0.1497,0.4458,"x, 1/4-x, z",96 g,m
18,E19,0.0636,0.0883,0.4536,"x, y, z",192 i,1
19,E20,0.0422,0.1368,0.4532,"x, y, z",192 i,1
20,E21,0.0319,0.0319,0.4388,"x, x, z",96 g,m
21,E22,0.0212,0.0685,0.4754,"x, y, z",192 i,1
22,E23,0.9993,0.0733,0.3407,"x, y, z",192 i,1
23,E24,0.0417,0.1162,0.3207,"x, y, z",192 i,1
24,E25,0.2354,0.2354,0.35,"x, x, z",96 g,m
25,E26,0.225,0.2498,0.3831,"x, y, z",192 i,1
26,E27,0.0999,0.0999,0.31,"x, x, z",96 g,m
27,E28,0.0996,0.1503,0.31,"x, 1/4-x, z",96 g,m
