,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,3,0.3974,0.1987,0.0747,"2y, y, z",12 k,m,2
1,V2,3,0.4493,0.2247,0.0208,"2y, y, z",12 k,m,2
2,V3,3,0.3547,0.2237,0.122,"x, y, z",24 l,1,1
3,V4,3,0.9651,0.2977,0.1428,"x, y, z",24 l,1,1
4,V5,3,0.0536,0.7185,0.1771,"x, y, z",24 l,1,1
5,V6,3,0.1232,0.339,0.2192,"x, y, z",24 l,1,1
6,V7,3,0.0862,0.5894,0.1116,"x, y, z",24 l,1,1
7,V8,3,0.0436,0.3991,0.1364,"x, y, z",24 l,1,1
8,V9,3,0.1581,0.5327,0.0659,"x, y, z",24 l,1,1
9,V1,3,0.2001,0.4928,0.0263,"x, y, z",24 l,1,1
