,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,3,4,6,8,14,22,32,36,39,55,220,3.16(2).16(2)
1,V2,3,4,6,10,14,20,28,36,42,47,211,3.16(2).16(2)
2,V3,3,4,6,8,14,22,32,39,42,54,225,3.16.16(2)
3,V4,3,4,6,10,14,20,30,41,48,51,228,3.16.16(2)
4,V5,3,4,7,10,15,19,29,41,48,59,236,3.12.16
5,V6,3,5,7,10,15,22,29,38,52,68,250,4.12.16(2)
6,V7,3,5,7,10,15,22,28,34,47,63,235,4.12.16(2)
7,V8,3,4,7,10,15,19,29,39,45,57,229,3.12.16(2)
8,V9,3,5,7,10,15,21,26,34,45,59,226,4.12.12
9,V1,3,4,7,10,15,18,26,36,41,49,210,3.12(2).16(2)
