,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.4234,0.2117,0.0478,"2y, y, z",12 k,m
1,E2,0.3761,0.2112,0.0983,"x, y, z",24 l,1
2,E3,0.471,0.2587,0.9973,"x, y, z",24 l,1
3,E4,0.3547,0.1774,0.122,"2y, y, z",12 k,m
4,E5,0.3437,0.2607,0.1324,"x, y, z",24 l,1
5,E6,0.0094,0.3164,0.1599,"x, y, z",24 l,1
6,E7,0.0044,0.3484,0.1396,"x, y, z",24 l,1
7,E8,0.0884,0.7513,0.1981,"x, y, z",24 l,1
8,E9,0.0486,0.6815,0.1567,"x, y, z",24 l,1
9,E10,0.1695,0.339,0.2192,"x, 2x, z",12 k,m
10,E11,0.1232,0.339,0.25,"x, y, 1/4",12 j,m
11,E12,0.0862,0.5431,0.1116,"2y, y, z",12 k,m
12,E13,0.0649,0.617,0.124,"x, y, z",24 l,1
13,E14,0.1221,0.6074,0.0888,"x, y, z",24 l,1
14,E15,0.1581,0.5791,0.0659,"2y, y, z",12 k,m
15,E16,0.1791,0.5128,0.0461,"x, y, z",24 l,1
16,E17,0.2464,0.4928,0.0263,"x, 2x, z",12 k,m
