,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.1057,0.1058,0.356,"x, x, z",16 m,m
1,E2,0.0581,0.1532,0.3317,"x, y, z",32 o,1
2,E3,0.0932,0.1183,0.4016,"x, y, z",32 o,1
3,E4,0.068,0.2443,0.2312,"x, y, z",32 o,1
4,E5,0.1257,0.2538,0.181,"x, y, z",32 o,1
5,E6,0.1305,0.2749,0.2231,"x, y, z",32 o,1
6,E7,0.0,0.1754,0.3075,"0, y, z",16 n,m
7,E8,0.0356,0.204,0.276,"x, y, z",32 o,1
8,E9,0.0,0.2325,0.2445,"0, y, z",16 n,m
9,E10,0.1634,0.239,0.0984,"x, y, z",32 o,1
10,E11,0.1558,0.2727,0.1861,"x, y, z",32 o,1
11,E12,0.201,0.201,0.0527,"x, x, z",16 m,m
12,E13,0.1758,0.2262,0.0,"x, y, 0",16 l,m
13,E14,0.1834,0.3166,0.25,"x, 1/2-x, 1/4",16 k,2
14,E15,0.1057,0.1057,0.5,"x, x, 1/2",8 h,mm2
