,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.3741,0.0,0.0,"x, 0, 0",12 i,2
1,E2,0.3286,0.0136,0.0604,"x, y, z",24 l,1
2,E3,0.3513,0.0588,0.986,"x, y, z",24 l,1
3,E4,0.4646,0.1289,0.1044,"x, y, z",24 l,1
4,E5,0.0,0.2696,0.0,"0, y, 0",12 i,2
5,E6,0.0226,0.2201,0.1183,"x, y, z",24 l,1
6,E7,0.5188,0.2594,0.1624,"2y, y, z",12 k,m
7,E8,0.5927,0.1854,0.1624,"x, 2x, z",12 k,m
8,E9,0.5188,0.1854,0.25,"xx, y, 1/4",12 j,m
9,E10,0.926,0.074,0.1624,"x, 1-x, z",12 k,m
10,E11,0.074,0.1479,0.1624,"x, 2x, z",12 k,m
11,E12,0.0,0.1479,0.25,"8, y, 1/4",12 j,2
