,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.5148,0.0296,0.1575,"x, 2x, z",12 k,m
1,E2,0.4474,0.0297,0.25,"x, y, 1/4",12 j,m
2,E3,0.4071,0.0148,0.0787,"x, y, z",24 l,1
3,E4,0.4208,0.0797,0.1575,"x, y, z",24 l,1
4,E5,0.2894,0.1447,0.0207,"2y, y, z",12 k,m
5,E6,0.3282,0.0386,0.0104,"x, y, z",24 l,1
6,E7,0.2121,0.0386,0.0104,"x, y, z",24 l,1
7,E8,0.3419,0.1035,0.0891,"x, y, z",24 l,1
8,E9,0.0674,0.1348,0.0,"x, 2x, z",12 k,m
9,E10,0.3942,0.1971,0.1575,"2y, y, z",12 k,m
10,E11,0.3942,0.1297,0.25,"x, y, 1/4",12 j,m
