,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0728,0.9273,0.3639,"x, 1-x, z",18 h,m
1,E2,0.1455,0.0727,0.3639,"2y, y, z",18 h,m
2,E3,0.1455,0.0,0.3061,"x, y, z",36 i,1
3,E4,0.2026,0.0142,0.4048,"x, y, z",36 i,1
4,E5,0.9273,0.0728,0.2483,"x, 1-x, z",18 h,m
5,E6,0.0727,0.1455,0.2483,"x, 2x, z",18 h,m
6,E7,0.0122,0.2121,0.2172,"x, y, z",36 i,1
7,E8,0.0879,0.4212,0.1667,"x, 1/3+x, 1/6",18 g,2
8,E9,0.0633,0.3428,0.1492,"x, y, z",36 i,1
9,E10,0.0237,0.3824,0.1297,"x, y, z",36 i,1
10,E11,0.9849,0.3183,0.1667,"x, 1/3+x, 1/6",18 g,2
