,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.3477,0.1739,0.105,"2y, y, z",18 h,m
1,E2,0.321,0.1986,0.0807,"x, y, z",36 i,1
2,E3,0.1821,0.0911,0.1093,"2y, y, z",18 h,m
3,E4,0.2607,0.0923,0.2451,"x, y, z",36 i,1
4,E5,0.1678,0.0839,0.201,"2y, y, z",18 h,m
5,E6,0.2873,0.1436,0.2694,"2y, y, z",18 h,m
6,E7,0.2538,0.9998,0.2885,"x, y, z",36 i,1
7,E8,0.1441,0.2881,0.3076,"x, 2x, z",18 h,m
8,E9,0.0905,0.3333,0.3333,"x, 1/3, 1/3",18 f,2
9,E10,0.0254,0.9746,0.1212,"x, 1-x, z",18 h,m
10,E11,0.1015,0.0508,0.1512,"2y, y, z",18 h,m
11,E12,0.0254,0.9746,0.1813,"x, 1-x, z",18 h,m
