,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0297,0.3631,0.1667,"x, y, 1/6",18 h,m
1,E2,0.9751,0.2932,0.1798,"x, y, z",36 i,1
2,E3,0.0708,0.3425,0.2188,"x, y, z",36 i,1
3,E4,0.0,0.5,0.5,"0, 1/2, 1/2",9 d,2/m
4,E5,0.1664,0.3328,0.3822,"x, 2x, z",18 h,m
5,E6,0.1808,0.2896,0.4017,"x, y, z",36 i,1
6,E7,0.0865,0.1729,0.3709,"x, 2x, z",18 h,m
7,E8,0.111,0.294,0.2641,"x, y, z",36 i,1
8,E9,0.0867,0.1734,0.2937,"x, 2x, z",18 h,m
9,E10,0.1686,0.3372,0.2446,"x, 2x, z",18 h,m
10,E11,0.976,0.024,0.3039,"x, 1-x, z",18 h,m
11,E12,0.048,0.0959,0.3321,"x, 2x, z",18 h,m
12,E13,0.976,0.024,0.3603,"x, 1-x, z",18 h,m
