,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.125,0.2846,0.3135,"x, y, z",8 e,1
1,E2,0.125,0.2154,0.4451,"x, y, z",8 e,1
2,E3,0.0,0.3192,0.1293,"x, y, z",8 e,1
3,E4,0.875,0.2846,0.3135,"x, y, z",8 e,1
4,E5,0.0162,0.3787,0.2821,"x, y, z",8 e,1
5,E6,0.875,0.2846,0.9451,"x, y, z",8 e,1
6,E7,0.0613,0.3755,0.9754,"x, y, z",8 e,1
7,E8,0.2951,0.0652,0.3781,"x, y, z",8 e,1
8,E9,0.3878,0.031,0.2249,"x, y, z",8 e,1
9,E10,0.6378,0.031,0.3415,"x, y, z",8 e,1
10,E11,0.1573,0.0342,0.5367,"x, y, z",8 e,1
11,E12,0.9653,0.0342,0.4032,"x, y, z",8 e,1
