,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.6891,0.1842,0.9836,"x, y, z",32 g,1
1,E2,0.686,0.3238,0.0166,"x, y, z",32 g,1
2,E3,0.6251,0.0025,0.967,"x, y, z",32 g,1
3,E4,0.5641,0.1814,0.9836,"x, y, z",32 g,1
4,E5,0.6505,0.1565,0.9391,"x, y, z",32 g,1
5,E6,0.561,0.821,0.9834,"x, y, z",32 g,1
6,E7,0.6424,0.8695,0.9369,"x, y, z",32 g,1
7,E8,0.7451,0.2736,0.0909,"x, y, z",32 g,1
8,E9,0.8023,0.1137,0.1069,"x, y, z",32 g,1
9,E10,0.9136,0.2251,0.1069,"x, y, z",32 g,1
10,E11,0.6928,0.4372,0.109,"x, y, z",32 g,1
11,E12,0.5815,0.2986,0.109,"x, y, z",32 g,1
