,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.4345,0.2524,0.818,"x, y, z",16 f,1
1,E2,0.3122,0.1741,0.7592,"x, y, z",16 f,1
2,E3,0.307,0.3306,0.7519,"x, y, z",16 f,1
3,E4,0.4345,0.2524,0.704,"x, y, z",16 f,1
4,E5,0.2515,0.0314,0.8164,"x, y, z",16 f,1
5,E6,0.2679,0.0456,0.6914,"x, y, z",16 f,1
6,E7,0.4753,0.1648,0.6135,"x, y, z",16 f,1
7,E8,0.2887,0.8844,0.8528,"x, y, z",16 f,1
8,E9,0.1582,0.9455,0.9021,"x, y, z",16 f,1
9,E10,0.4409,0.079,0.5042,"x, y, z",16 f,1
10,E11,0.5096,0.0006,0.5757,"x, y, z",16 f,1
11,E12,0.4141,0.7844,0.6517,"x, y, z",16 f,1
