,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.4948,0.75,0.0,"x, 3/4, 0",8 h,2,2
1,V2,4,0.3724,0.8911,0.0667,"x, y, z",16 k,1,1
2,V3,4,0.6224,0.8874,0.9339,"x, y, z",16 k,1,1
3,V4,4,0.25,0.75,0.0,"1/4, 3/4, 0",4 b,222,4
4,V5,4,0.5777,0.8013,0.8225,"x, y, z",16 k,1,1
5,V6,4,0.25,0.25,0.0,"1/4, 1/4, 0",4 a,222,4
6,V7,4,0.4133,0.6535,0.8141,"x, y, z",16 k,1,1
7,V8,4,0.5264,0.9736,0.75,"x, 1/2-x, 3/4",8 j,2,2
8,V9,4,0.25,0.75,0.75,"1/4, 3/4, 3/4",4 d,-4,4
9,V10,4,0.25,0.25,0.75,"1/4, 1/4, 3/4",4 c,222,4
