,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,10,22,38,62,90,124,160,204,262,977,4.4.5.5.6.6
1,V2,4,11,22,40,64,88,128,164,214,259,995,4.5.5.6.6.6
2,V3,4,11,21,40,63,93,123,168,211,264,999,4.5.5.6.6.6
3,V4,4,10,24,42,60,94,128,170,208,274,1015,4.4.6.6.6.6
4,V5,4,11,22,41,65,90,128,169,215,267,1013,4.5.5.6.5.6
5,V6,4,10,24,38,64,94,132,162,216,274,1019,4.4.6.6.6.6
6,V7,4,12,23,42,65,96,127,172,213,271,1026,5.5.5.5.6.6
7,V8,4,11,23,41,66,93,127,169,220,268,1023,4.6.5.5.5.5
8,V9,4,12,26,40,64,94,132,164,214,268,1019,5.5.5.5.6.6
9,V10,4,10,24,40,60,94,126,166,210,276,1011,4.4.6.6.6.6
