,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.4336,0.8205,0.0333,"x, y, z",16 k,1
1,E2,0.5586,0.8187,0.9669,"x, y, z",16 k,1
2,E3,0.375,0.0019,0.0664,"x, y, z",16 k,1
3,E4,0.3112,0.8205,0.0333,"x, y, z",16 k,1
4,E5,0.3928,0.8688,0.1263,"x, y, z",16 k,1
5,E6,0.6,0.8443,0.8782,"x, y, z",16 k,1
6,E7,0.6862,0.8187,0.9669,"x, y, z",16 k,1
7,E8,0.4955,0.7274,0.8183,"x, y, z",16 k,1
8,E9,0.552,0.8874,0.7862,"x, y, z",16 k,1
9,E10,0.6639,0.7757,0.7862,"x, y, z",16 k,1
10,E11,0.4434,0.5635,0.7821,"x, y, z",16 k,1
11,E12,0.3317,0.7018,0.7821,"x, y, z",16 k,1
