,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0344,0.111,0.1666,"x, y, z",8 f,1
1,E2,0.9654,0.861,0.2026,"x, y, z",8 f,1
2,E3,0.069,0.25,0.964,"x, y, z",8 f,1
3,E4,0.0344,0.3616,0.1666,"x, y, z",8 f,1
4,E5,0.1257,0.1752,0.0858,"x, y, z",8 f,1
5,E6,0.9654,0.6116,0.2026,"x, y, z",8 f,1
6,E7,0.8711,0.7609,0.2173,"x, y, z",8 f,1
7,E8,0.8145,0.9498,0.3455,"x, y, z",8 f,1
8,E9,0.777,0.8612,0.2089,"x, y, z",8 f,1
9,E10,0.7846,0.6112,0.3205,"x, y, z",8 f,1
10,E11,0.78,0.0886,0.525,"x, y, z",8 f,1
11,E12,0.7875,0.2755,0.3866,"x, y, z",8 f,1
