,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.2872,0.8692,0.3126,"x, y, z",8 c,1
1,E2,0.2186,0.6192,0.3126,"x, y, z",8 c,1
2,E3,0.2189,0.8523,0.4446,"x, y, z",8 c,1
3,E4,0.2869,0.6023,0.4446,"x, y, z",8 c,1
4,E5,0.3184,0.0169,0.1289,"x, y, z",8 c,1
5,E6,0.378,0.0142,0.2813,"x, y, z",8 c,1
6,E7,0.3753,0.0801,0.9748,"x, y, z",8 c,1
7,E8,0.0651,0.6983,0.3771,"x, y, z",8 c,1
8,E9,0.0313,0.6062,0.225,"x, y, z",8 c,1
9,E10,0.0313,0.3562,0.3407,"x, y, z",8 c,1
10,E11,0.0338,0.0289,0.4022,"x, y, z",8 c,1
11,E12,0.0338,0.8421,0.5365,"x, y, z",8 c,1
