,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.931,0.125,0.9511,"x, y, z",4 e,1
1,E2,0.069,0.125,0.0489,"x, y, z",4 e,1
2,E3,0.0698,0.375,0.9182,"x, y, z",4 e,1
3,E4,0.9302,0.375,0.0818,"x, y, z",4 e,1
4,E5,0.8612,0.0,0.7829,"x, y, z",4 e,1
5,E6,0.7491,0.9339,0.9605,"x, y, z",4 e,1
6,E7,0.2587,0.4809,0.8397,"x, y, z",4 e,1
7,E8,0.3708,0.297,0.9121,"x, y, z",4 e,1
8,E9,0.4464,0.387,0.7373,"x, y, z",4 e,1
9,E10,0.4315,0.637,0.8558,"x, y, z",4 e,1
10,E11,0.4245,0.9721,0.9248,"x, y, z",4 e,1
11,E12,0.4393,0.1601,0.0563,"x, y, z",4 e,1
