,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.7692,0.185,0.2435,"x, y, z",8 g,1
1,E2,0.6851,0.2309,0.4935,"x, y, z",8 g,1
2,E3,0.7293,0.06,0.0769,"x, y, z",8 g,1
3,E4,0.8708,0.103,0.1589,"x, y, z",8 g,1
4,E5,0.6282,0.0233,0.8673,"x, y, z",8 g,1
5,E6,0.6271,0.9747,0.2,"x, y, z",8 g,1
6,E7,0.731,0.9395,0.0177,"x, y, z",8 g,1
7,E8,0.5849,0.998,0.5321,"x, y, z",8 g,1
8,E9,0.5011,0.0486,0.6673,"x, y, z",8 g,1
9,E10,0.6025,0.8705,0.4324,"x, y, z",8 g,1
10,E11,0.3144,0.2292,0.375,"x, y, z",8 g,1
11,E12,0.3144,0.2292,0.625,"x, y, z",8 g,1
