,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.3039,0.8899,0.682,"x, y, z",8 c,1
1,E2,0.4227,0.0148,0.7731,"x, y, z",8 c,1
2,E3,0.4892,0.8853,0.661,"x, y, z",8 c,1
3,E4,0.3629,0.0414,0.6196,"x, y, z",8 c,1
4,E5,0.1441,0.8255,0.771,"x, y, z",8 c,1
5,E6,0.191,0.7315,0.6191,"x, y, z",8 c,1
6,E7,0.1736,0.9202,0.6164,"x, y, z",8 c,1
7,E8,0.4335,0.2004,0.8621,"x, y, z",8 c,1
8,E9,0.404,0.0348,0.9574,"x, y, z",8 c,1
9,E10,0.5423,0.0451,0.9063,"x, y, z",8 c,1
10,E11,0.1263,0.8439,0.9586,"x, y, z",8 c,1
11,E12,0.2325,0.0717,0.5539,"x, y, z",8 c,1
