,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.8225,0.914,0.9558,"x, y, z",4 e,1
1,E2,0.9315,0.086,0.0442,"x, y, z",4 e,1
2,E3,0.5236,0.0443,0.9162,"x, y, z",4 e,1
3,E4,0.7304,0.9556,0.0838,"x, y, z",4 e,1
4,E5,0.7836,0.8295,0.7922,"x, y, z",4 e,1
5,E6,0.0343,0.7309,0.9728,"x, y, z",4 e,1
6,E7,0.3084,0.2098,0.8298,"x, y, z",4 e,1
7,E8,0.1277,0.0243,0.7322,"x, y, z",4 e,1
8,E9,0.8193,0.8954,0.6524,"x, y, z",4 e,1
9,E10,0.4269,0.8485,0.6034,"x, y, z",4 e,1
10,E11,0.0699,0.913,0.5829,"x, y, z",4 e,1
11,E12,0.8924,0.0469,0.549,"x, y, z",4 e,1
